授業科目,単位,学年,種別1,種別2,種別3,種別4,除外
総合工学システム概論,1,1,必,専門共通,DP-D,コース共通
総合工学システム実験実習,4,1,必,専門共通,DP-D,コース共通
情報1,2,1,必,専門共通,DP-D,コース共通
情報2,2,2,必,専門共通,DP-D,コース共通
情報3,2,3,必,専門共通,DP-D,コース共通
ダイバーシティと人権,1,1,必,専門共通,"DP-A, SDGs",コース共通
多文化共生,1,4,必,専門共通,"DP-A, SDGs",コース共通
労働環境と人権,2,5,必,専門共通,"DP-A, SDGs",コース共通
技術倫理,2,5,必,専門共通,"DP-A, SDGs",コース共通
システム安全入門,1,5,選,専門共通,"DP-A, SDGs",コース共通
環境システム工学,1,5,選,専門共通,"DP-A, SDGs",コース共通
資源と産業,1,5,選,専門共通,"DP-A, SDGs",コース共通
環境倫理,1,5,選,専門共通,"DP-A, SDGs",コース共通
応用数学A,2,4,必,専門共通,DP-B,コース共通
応用数学B,2,4,必,専門共通,DP-B,コース共通
物理学A,2,4,必,専門共通,DP-B,コース共通
物理学B,2,4,必,専門共通,DP-B,コース共通
計測工学,2,5,必,専門共通,DP-D,コース共通
技術英語,2,5,必,専門共通,DP-C,コース共通
機械工学概論,1,2,必,基盤専門,DP-D,Mコース
基礎製図,2,2,必,基盤専門,DP-D,Mコース
電気・電子回路,1,2,必,基盤専門,DP-D,Mコース
シーケンス制御,1,2,必,基盤専門,DP-D,Mコース
機械工作実習1,4,2,必,基盤専門,DP-D,Mコース
材料力学入門,1,3,必,基盤専門,DP-D,Mコース
熱力学入門,1,3,必,基盤専門,DP-D,Mコース
流体力学入門,1,3,必,基盤専門,DP-D,Mコース
機械工作法,2,3,必,基盤専門,DP-D,Mコース
CAD製図,2,3,必,基盤専門,DP-D,Mコース
機械設計製図,2,3,必,基盤専門,DP-D,Mコース
機械工作実習2,4,3,必,基盤専門,DP-D,Mコース
材料力学,2,4,必,基盤専門,DP-D,Mコース
熱力学,2,4,必,基盤専門,DP-D,Mコース
流れ学,2,4,必,基盤専門,DP-D,Mコース
機械力学,2,4,必,基盤専門,DP-D,Mコース
材料学,2,4,必,基盤専門,DP-D,Mコース
数値計算,2,4,必,基盤専門,DP-D,Mコース
エネルギー機械実験1,4,4,必,基盤専門,DP-D,Mコース
機械設計,2,5,必,基盤専門,DP-D,Mコース
伝熱工学,2,5,必,基盤専門,DP-D,Mコース
流体工学,2,5,必,基盤専門,DP-D,Mコース
生産加工工学,2,5,必,基盤専門,DP-D,Mコース
制御工学,2,5,必,基盤専門,DP-D,Mコース
制御工学,2,5,必,基盤専門,DP-D,Dコース
エネルギー変換工学,2,5,必,基盤専門,DP-D,Mコース
エネルギー機械実験2,2,5,必,基盤専門,DP-D,Mコース
卒業研究,6,5,必,基盤専門,DP-E,Mコース
プロダクトデザイン概論,1,2,必,基盤専門,DP-D,Dコース
製図基礎,2,2,必,基盤専門,DP-D,Dコース
プログラミング基礎,1,2,必,基盤専門,DP-D,Dコース
機械工作法,1,2,必,基盤専門,DP-D,Dコース
機械工作実習,4,2,必,基盤専門,DP-D,Dコース
工業力学,1,3,必,基盤専門,DP-D,Dコース
CAD設計製図,2,3,必,基盤専門,DP-D,Dコース
材料学,2,3,必,基盤専門,DP-D,Dコース
加工学,2,3,必,基盤専門,DP-D,Dコース
ユニバーサルデザイン,2,3,必,基盤専門,DP-D,Dコース
生産機械実習,4,3,必,基盤専門,DP-D,Dコース
材料力学,2,4,必,基盤専門,DP-D,Dコース
熱力学,2,4,必,基盤専門,DP-D,Dコース
流体力学,2,4,必,基盤専門,DP-D,Dコース
機械力学,2,4,必,基盤専門,DP-D,Dコース
メカトロニクス,2,4,必,基盤専門,DP-D,Dコース
ロボット工学,2,4,必,基盤専門,DP-D,Dコース
プロダクトデザイン実験,4,4,必,基盤専門,DP-D,Dコース
プロダクトデザイン,2,5,必,基盤専門,DP-D,Dコース
CAM/CAE,2,5,必,基盤専門,DP-D,Dコース
生産システム工学,2,5,必,基盤専門,DP-D,Dコース
感性工学,2,5,必,基盤専門,DP-D,Dコース
プロダクトデザイン実習,2,5,必,基盤専門,DP-D,Dコース
卒業研究,6,5,必,基盤専門,DP-E,Dコース
エレクトロニクス概論,1,2,必,基盤専門,DP-D,Eコース
電気設備,1,2,必,基盤専門,DP-D,Eコース
電気回路1,1,2,必,基盤専門,DP-D,Eコース
電子回路1,1,2,必,基盤専門,DP-D,Eコース
電気電子材料1,1,2,必,基盤専門,DP-D,Eコース
エレクトロニクス実験実習,4,2,必,基盤専門,DP-D,Eコース
電気回路2,1,3,必,基盤専門,DP-D,Eコース
電磁気学1,2,3,必,基盤専門,DP-D,Eコース
電気電子材料2,2,3,必,基盤専門,DP-D,Eコース
半導体工学1,2,3,必,基盤専門,DP-D,Eコース
工学設計演習,2,3,必,基盤専門,DP-D,Eコース
エレクトロニクス実験1,4,3,必,基盤専門,DP-D,Eコース
電子回路2,2,4,必,基盤専門,DP-D,Eコース
電気回路3,2,4,必,基盤専門,DP-D,Eコース
電磁気学2,1,4,必,基盤専門,DP,Eコース
電気電子材料3,2,4,必,基盤専門,DP-D,Eコース
半導体工学2,2,4,必,基盤専門,DP-D,Eコース
コンピュータ工学基礎,2,4,必,基盤専門,DP-D,Eコース
制御工学1,1,4,必,基盤専門,DP-D,Eコース
エレクトロニクス実験2,4,4,必,基盤専門,DP-D,Eコース
制御工学2,1,5,必,基盤専門,DP-D,Eコース
電気機器,1,5,必,基盤専門,DP-D,Eコース
電力技術,2,5,必,基盤専門,DP-D,Eコース
パワーエレクトロニクス,2,5,必,基盤専門,DP-D,Eコース
信号処理,2,5,必,基盤専門,DP-D,Eコース
電気化学,1,5,必,基盤専門,DP-D,Eコース
センサー工学,2,5,必,基盤専門,DP-D,Eコース
ワイヤレス技術,1,5,必,基盤専門,DP-D,Eコース
エレクトロニクス実験3,2,5,必,基盤専門,DP-D,Eコース
卒業研究,6,5,必,基盤専門,DP-E,Eコース
メディアデザイン入門,1,2,必,基盤専門,DP-D,Iコース
論理回路1,1,2,必,基盤専門,DP-D,E,Iコース
マイクロコンピュータ,1,2,必,基盤専門,DP-D,Iコース
プログラミング1,2,2,必,基盤専門,DP-D,Iコース
工学基礎実習,4,2,必,基盤専門,DP-D,Iコース
プログラミング2,2,3,必,基盤専門,DP-D,Iコース
プログラミング3,2,3,必,基盤専門,DP-D,Iコース
アルゴリズムとデータ構造1,1,3,必,基盤専門,DP-D,Iコース
論理回路2,1,3,必,基盤専門,DP-D,Iコース
電気電子回路1,1,3,必,基盤専門,DP-D,Iコース
知識科学概論,2,3,必,基盤専門,DP-D,Iコース
知能情報実験実習1,4,3,必,基盤専門,DP-D,Iコース
アルゴリズムとデータ構造2,2,4,必,基盤専門,DP-D,Iコース
電気電子回路2,2,4,必,基盤専門,DP-D,Iコース
データベース工学,2,4,必,基盤専門,DP-D,Iコース
マルチメディア情報処理,2,4,必,基盤専門,DP-D,Iコース
情報通信ネットワーク,2,4,必,基盤専門,DP-D,Iコース
コンピュータシステム,2,4,必,基盤専門,DP-D,Iコース
知能情報実験実習2,4,4,必,基盤専門,DP-D,Iコース
オートマトンと形式言語,2,5,必,基盤専門,DP-D,Iコース
ソフトウェア工学,2,5,必,基盤専門,DP-D,Iコース
知能情報実験実習3,2,5,必,基盤専門,DP-D,Iコース
オペレーティングシステム,2,5,必,基盤専門,DP-D,Iコース
人工知能,2,5,必,基盤専門,DP-D,Iコース
情報理論,2,5,必,基盤専門,DP-D,Iコース
コンピュータアーキテクチャ,2,5,必,基盤専門,DP-D,Iコース
卒業研究,6,5,必,基盤専門,DP-E,Iコース
応用専門概論,1,3,必,応用専門,DP-E,コース共通
応用専門PBL1,1,3,必,応用専門,DP-E,コース共通
応用専門PBL2,2,4,必,応用専門,DP-E,コース共通
インターンシップ,1,4,選,応用専門,DP-E,コース共通
生活と物質,1,4,選必,応用専門,DP-E,コース共通
社会と環境,1,4,選必,応用専門,DP-E,コース共通
物質プロセス基礎,2,5,選必,応用専門,DP-E,コース共通
物質デザイン概論,2,5,選必,応用専門,DP-E,コース共通
防災工学,2,4,選必,応用専門,DP-E,コース共通
エルゴノミクス,2,4,選必,応用専門,DP-E,コース共通
食品エンジニアリング,2,5,選必,応用専門,DP-E,コース共通
コスメティックス,2,5,選必,応用専門,DP-E,コース共通
バイオテクノロジー,2,5,選必,応用専門,DP-E,コース共通
高純度化技術,2,5,選必,応用専門,DP-E,コース共通
環境モニタリング,2,5,選必,応用専門,DP-E,コース共通
エネルギー変換デバイス,2,5,選必,応用専門,DP-E,コース共通
食と健康のセンサ,2,5,選必,応用専門,DP-E,コース共通
環境対応デバイス,2,5,選必,応用専門,DP-E,コース共通
社会基盤構造,2,5,選必,応用専門,DP-E,コース共通
環境衛生工学,2,5,選必,応用専門,DP-E,コース共通
維持管理工学,2,5,選必,応用専門,DP-E,コース共通
水環境工学,2,5,選必,応用専門,DP-E,コース共通
環境デザイン論,2,5,選必,応用専門,DP-E,コース共通
インクルーシブデザイン,2,5,選必,応用専門,DP-E,コース共通
空間情報学,2,5,選必,応用専門,DP-E,コース共通
環境行動,2,5,選必,応用専門,DP-E,コース共通
特・特別活動1,0,1,必,その他,Other,コース共通,1
特・特別活動2,0,2,必,その他,Other,コース共通,1
特・特別活動3,0,3,必,その他,Other,コース共通,1
特・防災リテラシー,1,0,選,専門,"DP-A, SDGs",コース共通,1
特・総合課題実習1,1,0,選,特別学修,DP-E,コース共通,1
特・総合課題実習2,1,0,選,特別学修,DP-E,コース共通,1
特・総合課題実習3,1,0,選,特別学修,DP-E,コース共通,1
